system,epoch,UAS,LAS
exp1_mono,1,14.62,0.24
exp1_mono,2,14.26,1.33
exp1_mono,3,14.35,0.7
exp1_mono,4,14.05,3.13
exp1_mono,5,13.75,1.97
exp1_mono,6,15.1,4.12
exp1_mono,7,15.62,4.3
exp1_mono,8,19.87,7.09
exp1_mono,9,20.75,8.63
exp1_mono,10,21.74,9.77
exp1_mono,11,29.98,11.79
exp1_mono,12,25.68,13.31
exp1_mono,13,32.76,15.83
exp1_mono,14,31.17,15.48
exp1_mono,15,29.55,16.01
exp1_mono,16,34.93,17.88
exp1_mono,17,35.63,19.47
exp1_mono,18,36.96,19.17
exp1_mono,19,34.62,19.05
exp1_mono,20,36.19,19.77
exp1_mono,21,37.8,21.38
exp1_mono,22,38.22,22.29
exp1_mono,23,37.82,22.57
exp1_mono,24,36.41,22.48
exp1_mono,25,39.27,24.12
exp1_mono,26,40.38,24.67
exp1_mono,27,39.57,25.39
exp1_mono,28,40.74,26.36
exp1_mono,29,40.69,26.46
exp1_mono,30,40.47,26.77
exp2a_zh+en,1,14.62,2.95
exp2a_zh+en,2,11.38,1.54
exp2a_zh+en,3,16.64,5.08
exp2a_zh+en,4,19.08,7.17
exp2a_zh+en,5,25.39,8.7
exp2a_zh+en,6,23.64,10.2
exp2a_zh+en,7,33.21,16.72
exp2a_zh+en,8,29.03,14.92
exp2a_zh+en,9,34.76,18.28
exp2a_zh+en,10,36.31,20.4
exp2a_zh+en,11,38.14,22.9
exp2a_zh+en,12,41.76,25.27
exp2a_zh+en,13,40.02,25.61
exp2a_zh+en,14,38.89,25.08
exp2a_zh+en,15,41.42,27.51
exp2a_zh+en,16,42.22,29.36
exp2a_zh+en,17,42.83,30.0
exp2a_zh+en,18,43.44,30.76
exp2a_zh+en,19,43.36,30.4
exp2a_zh+en,20,44.38,31.35
exp2a_zh+en,21,44.45,31.66
exp2a_zh+en,22,45.06,32.29
exp2a_zh+en,23,43.35,31.64
exp2a_zh+en,24,44.67,32.05
exp2a_zh+en,25,44.18,31.35
exp2a_zh+en,26,45.0,32.58
exp2a_zh+en,27,44.63,32.28
exp2a_zh+en,28,44.54,32.75
exp2a_zh+en,29,45.79,33.35
exp2a_zh+en,30,44.97,32.36
exp2b_zh+ja,1,14.62,0.88
exp2b_zh+ja,2,14.92,4.95
exp2b_zh+ja,3,19.68,8.24
exp2b_zh+ja,4,22.61,8.46
exp2b_zh+ja,5,26.51,12.05
exp2b_zh+ja,6,30.13,16.09
exp2b_zh+ja,7,32.17,17.13
exp2b_zh+ja,8,35.82,19.92
exp2b_zh+ja,9,37.0,22.2
exp2b_zh+ja,10,38.52,21.97
exp2b_zh+ja,11,35.4,20.53
exp2b_zh+ja,12,39.19,23.25
exp2b_zh+ja,13,40.27,25.78
exp2b_zh+ja,14,40.28,25.1
exp2b_zh+ja,15,39.61,25.25
exp2b_zh+ja,16,41.08,26.1
exp2b_zh+ja,17,40.21,26.3
exp2b_zh+ja,18,41.48,27.6
exp2b_zh+ja,19,42.37,28.14
exp2b_zh+ja,20,43.26,28.33
exp2b_zh+ja,21,43.62,29.1
exp2b_zh+ja,22,43.2,28.91
exp2b_zh+ja,23,43.96,29.39
exp2b_zh+ja,24,42.36,29.08
exp2b_zh+ja,25,42.91,29.21
exp2b_zh+ja,26,43.45,30.05
exp2b_zh+ja,27,43.2,30.0
exp2b_zh+ja,28,43.32,30.76
exp2b_zh+ja,29,43.41,30.79
exp2b_zh+ja,30,44.08,30.77
